"","CA025","CA011","CA020","CA008","I065","I047","I063","P066","P052","P045","P050","C055","C067","C056","C062","T015","B021","T006","B008","B015","B017","H008","U020","U012","U019","U026","A011","A013","A019","A022","A027","A003","A006","A010","U006","L008","L022","L011","L017"
"ASV183",0,0,0,0,0,0,0,1821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV184",0,0,0,0,0,0,0,0,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0
"ASV186",0,0,1437,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,3,0,0,0,0,2,0,0,0
"ASV187",0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV188",0,0,0,0,0,0,0,0,0,45,0,0,1,31,31,0,20,2,42,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ASV190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,122,0,0,0,0,0,0,0,0,0,462,177,0,0
"ASV191",6,55,9,0,37,0,17,84,45,9,7,0,0,53,127,0,29,0,3,7,26,0,5,5,0,5,7,0,194,0,14,0,2,0,0,0,3,0,0
"ASV193",0,0,0,0,0,285,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV194",0,0,0,0,0,0,0,0,510,0,0,0,0,0,283,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
